hh,mm,ss,mss,Power[W]
9,21,31,1,4.5709e+00
9,21,31,2,4.5705e+00
9,21,31,3,4.5705e+00
9,21,31,4,4.5702e+00
9,21,31,5,4.5702e+00
9,21,31,6,4.5701e+00
9,21,31,7,4.5701e+00
9,21,31,8,4.5698e+00
9,21,31,9,4.5698e+00
9,21,32,0,4.5695e+00
9,21,32,1,4.5695e+00
9,21,32,2,4.5693e+00
9,21,32,3,4.5693e+00
9,21,32,4,4.5691e+00
9,21,32,5,4.5691e+00
9,21,32,6,4.5688e+00
9,21,32,7,4.5688e+00
9,21,32,8,4.5687e+00
9,21,32,9,4.5687e+00
9,21,33,0,4.5683e+00
9,21,33,1,4.5683e+00
9,21,33,2,4.5680e+00
9,21,33,3,4.5680e+00
9,21,33,4,4.5679e+00
9,21,33,5,4.5679e+00
9,21,33,6,4.5676e+00
9,21,33,7,4.5676e+00
9,21,33,8,4.5674e+00
9,21,33,9,4.5674e+00
9,21,34,0,4.5672e+00
9,21,34,1,4.5672e+00
9,21,34,2,4.5670e+00
9,21,34,3,4.5670e+00
9,21,34,4,4.5666e+00
9,21,34,5,4.5666e+00
9,21,34,6,4.5664e+00
9,21,34,7,4.5664e+00
9,21,34,8,4.5661e+00
9,21,34,9,4.5661e+00
9,21,35,0,4.5658e+00
9,21,35,1,4.5658e+00
9,21,35,2,4.5656e+00
9,21,35,3,4.5656e+00
9,21,35,4,4.5653e+00
9,21,35,5,4.5653e+00
9,21,35,6,4.5650e+00
9,21,35,7,4.5650e+00
9,21,35,8,4.5648e+00
9,21,35,9,4.5648e+00
9,21,36,0,4.5646e+00
9,21,36,1,4.5646e+00
9,21,36,2,4.5644e+00
9,21,36,3,4.5644e+00
9,21,36,4,4.5642e+00
9,21,36,5,4.5642e+00
9,21,36,6,4.5640e+00
9,21,36,7,4.5640e+00
9,21,36,8,4.5638e+00
9,21,36,9,4.5638e+00
9,21,37,0,4.5637e+00
9,21,37,1,4.5637e+00
9,21,37,2,4.5634e+00
9,21,37,3,4.5634e+00
9,21,37,4,4.5630e+00
9,21,37,5,4.5630e+00
