hh,mm,ss,mss,Power[W]
9,21,3,7,3.3150e-07
9,21,3,8,3.3152e-07
9,21,3,9,3.3152e-07
9,21,4,0,3.3155e-07
9,21,4,1,3.3155e-07
9,21,4,2,3.3156e-07
9,21,4,3,3.3156e-07
9,21,4,4,3.3157e-07
9,21,4,5,3.3157e-07
9,21,4,6,3.3159e-07
9,21,4,7,3.3159e-07
9,21,4,8,3.3160e-07
9,21,4,9,3.3160e-07
9,21,5,0,3.3162e-07
9,21,5,1,3.3162e-07
9,21,5,2,3.3162e-07
9,21,5,3,3.3162e-07
9,21,5,4,3.3165e-07
9,21,5,5,3.3165e-07
9,21,5,6,3.3166e-07
9,21,5,7,3.3166e-07
9,21,5,8,3.3167e-07
9,21,5,9,3.3167e-07
9,21,6,0,3.3169e-07
9,21,6,1,3.3169e-07
9,21,6,2,3.3170e-07
9,21,6,3,3.3170e-07
9,21,6,4,3.3171e-07
9,21,6,5,3.3171e-07
9,21,6,6,3.3173e-07
9,21,6,7,3.3173e-07
9,21,6,8,3.3174e-07
9,21,6,9,3.3174e-07
9,21,7,0,3.3176e-07
9,21,7,1,3.3176e-07
9,21,7,2,3.3177e-07
9,21,7,3,3.3177e-07
9,21,7,4,3.3178e-07
9,21,7,5,3.3178e-07
9,21,7,6,3.3180e-07
9,21,7,7,3.3180e-07
9,21,7,8,3.3181e-07
9,21,7,9,3.3181e-07
9,21,8,0,3.3183e-07
9,21,8,1,3.3183e-07
9,21,8,2,3.3183e-07
9,21,8,3,3.3183e-07
9,21,8,4,3.3185e-07
9,21,8,5,3.3185e-07
9,21,8,6,3.3185e-07
9,21,8,7,3.3185e-07
9,21,8,8,3.3187e-07
9,21,8,9,3.3187e-07
9,21,9,0,3.3188e-07
9,21,9,1,3.3188e-07
9,21,9,2,3.3188e-07
9,21,9,3,3.3188e-07
9,21,9,4,3.3190e-07
9,21,9,5,3.3190e-07
9,21,9,6,3.3191e-07
9,21,9,7,3.3191e-07
9,21,9,8,3.3193e-07
9,21,9,9,3.3193e-07
9,21,10,0,3.3194e-07
9,21,10,1,3.3194e-07
9,21,10,2,3.3195e-07
9,21,10,3,3.3195e-07
9,21,10,4,3.3197e-07
9,21,10,5,3.3197e-07
9,21,10,6,3.3199e-07
9,21,10,7,3.3199e-07
9,21,10,8,3.3201e-07
9,21,10,9,3.3201e-07
9,21,11,0,3.3202e-07
9,21,11,1,3.3202e-07
9,21,11,2,3.3204e-07
9,21,11,3,3.3204e-07
9,21,11,4,3.3204e-07
9,21,11,5,3.3204e-07
9,21,11,6,3.3206e-07
9,21,11,7,3.3206e-07
9,21,11,8,3.3207e-07
9,21,11,9,3.3207e-07
9,21,12,0,3.3208e-07
9,21,12,1,3.3208e-07
9,21,12,2,3.3210e-07
9,21,12,3,3.3210e-07
9,21,12,4,3.3211e-07
9,21,12,5,3.3211e-07
9,21,12,6,3.3213e-07
9,21,12,7,3.3213e-07
9,21,12,8,3.3215e-07
9,21,12,9,3.3215e-07
9,21,13,0,3.3216e-07
9,21,13,1,3.3216e-07
9,21,13,2,3.3217e-07
9,21,13,3,3.3217e-07
9,21,13,4,3.3219e-07
9,21,13,5,3.3219e-07
9,21,13,6,3.3220e-07
9,21,13,7,3.3220e-07
9,21,13,8,3.3220e-07
9,21,13,9,3.3220e-07
9,21,14,0,3.3222e-07
9,21,14,1,3.3222e-07
9,21,14,2,3.3224e-07
9,21,14,3,3.3224e-07
9,21,14,4,3.3226e-07
9,21,14,5,3.3226e-07
9,21,14,6,3.3228e-07
9,21,14,7,3.3228e-07
9,21,14,8,3.3229e-07
9,21,14,9,3.3229e-07
9,21,15,0,3.3230e-07
9,21,15,1,3.3230e-07
9,21,15,2,3.3231e-07
9,21,15,3,3.3231e-07
9,21,15,4,3.3234e-07
9,21,15,5,3.3234e-07
9,21,15,6,3.3234e-07
9,21,15,7,3.3234e-07
9,21,15,8,3.3235e-07
9,21,15,9,3.3235e-07
9,21,16,0,3.3236e-07
9,21,16,1,3.3236e-07
9,21,16,2,3.3238e-07
9,21,16,3,3.3238e-07
9,21,16,4,3.3239e-07
9,21,16,5,3.3239e-07
9,21,16,6,3.3240e-07
9,21,16,7,3.3240e-07
9,21,16,8,3.3242e-07
9,21,16,9,3.3242e-07
9,21,17,0,3.3243e-07
9,21,17,1,3.3243e-07
9,21,17,2,3.3245e-07
9,21,17,3,3.3245e-07
9,21,17,4,3.3247e-07
9,21,17,5,3.3247e-07
9,21,17,6,3.3248e-07
9,21,17,7,3.3248e-07
9,21,17,8,3.3249e-07
9,21,17,9,3.3249e-07
9,21,18,0,3.3251e-07
9,21,18,1,3.3251e-07
9,21,18,2,3.3252e-07
9,21,18,3,3.3252e-07
9,21,18,4,3.3254e-07
9,21,18,5,3.3254e-07
9,21,18,6,3.3255e-07
9,21,18,7,3.3255e-07
9,21,18,8,3.3256e-07
9,21,18,9,3.3256e-07
9,21,19,0,3.3258e-07
9,21,19,1,3.3258e-07
9,21,19,2,3.3260e-07
9,21,19,3,3.3260e-07
9,21,19,4,3.3261e-07
9,21,19,5,3.3261e-07
9,21,19,6,3.3263e-07
9,21,19,7,3.3263e-07
9,21,19,8,3.3264e-07
9,21,19,9,3.3264e-07
9,21,20,0,3.3266e-07
9,21,20,1,3.3266e-07
9,21,20,2,3.3267e-07
9,21,20,3,3.3267e-07
9,21,20,4,3.3268e-07
9,21,20,5,3.3268e-07
9,21,20,6,3.3270e-07
9,21,20,7,3.3270e-07
9,21,20,8,3.3272e-07
9,21,20,9,3.3272e-07
9,21,21,0,3.3273e-07
9,21,21,1,3.3273e-07
9,21,21,2,3.3274e-07
9,21,21,3,3.3274e-07
9,21,21,4,3.3276e-07
9,21,21,5,3.3276e-07
9,21,21,6,3.3277e-07
9,21,21,7,3.3277e-07
9,21,21,8,3.3279e-07
9,21,21,9,3.3279e-07
9,21,22,0,3.3281e-07
9,21,22,1,3.3281e-07
9,21,22,2,3.3282e-07
9,21,22,3,3.3282e-07
9,21,22,4,3.3284e-07
9,21,22,5,3.3284e-07
9,21,22,6,3.3285e-07
9,21,22,7,3.3285e-07
9,21,22,8,3.3287e-07
9,21,22,9,3.3287e-07
9,21,23,0,3.3288e-07
9,21,23,1,3.3288e-07
9,21,23,2,3.3289e-07
9,21,23,3,3.3289e-07
9,21,23,4,3.3291e-07
9,21,23,5,3.3291e-07
9,21,23,6,3.3292e-07
9,21,23,7,3.3292e-07
9,21,23,8,3.3293e-07
9,21,23,9,3.3293e-07
9,21,24,0,3.3295e-07
9,21,24,1,3.3295e-07
9,21,24,2,3.3297e-07
9,21,24,3,3.3297e-07
9,21,24,4,3.3298e-07
9,21,24,5,3.3298e-07
